Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Year,Data Value Normalized
Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409.0,Southeast Queens,2015,01/01/2015,0.3,2015.0,0.0007063809748057452
Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,2015,01/01/2015,1.2,2015.0,0.0028255238992229807
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2012,12/01/2011,8.6,2012.0,0.020249587944431362
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Annual Average 2012,12/01/2011,8.0,2012.0,0.018836825994819874
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2022,06/01/2022,6.1,2022.0,0.014363079821050152
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2012,06/01/2012,10.0,2012.0,0.02354603249352484
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2013,06/01/2013,9.8,2013.0,0.023075111843654347
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2013,06/01/2013,9.8,2013.0,0.023075111843654347
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2012,06/01/2012,9.6,2012.0,0.022604191193783846
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2021,06/01/2021,7.2,2021.0,0.016953143395337888
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,12/01/2012,8.2,2013.0,0.019307746644690368
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2013,12/01/2012,8.1,2013.0,0.019072286319755122
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Annual Average 2017,01/01/2017,6.8,2017.0,0.016011302095596893
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2017,01/01/2017,6.8,2017.0,0.016011302095596893
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2009,06/01/2009,10.6,2009.0,0.024958794443136333
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,01/01/2017,7.1,2017.0,0.016717683070402636
Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210.0,Coney Island - Sheepshead Bay,2013,01/01/2013,0.9,2013.0,0.002119142924417236
Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,2013,01/01/2013,1.7,2013.0,0.004002825523899223
Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,410.0,Rockaways,2013,01/01/2013,0.0,2013.0,0.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2016,06/01/2016,6.9,2016.0,0.016246762420532142
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2011,06/01/2011,10.8,2011.0,0.02542971509300683
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2012,06/01/2012,9.4,2012.0,0.022133270543913352
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2016,12/31/2015,7.1,2016.0,0.016717683070402636
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2013,06/01/2013,9.5,2013.0,0.0223687308688486
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Annual Average 2016,12/31/2015,6.0,2016.0,0.014127619496114905
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Winter 2021-22,12/01/2021,6.4,2021.0,0.0150694607958559
Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,12/01/2012,18.6,2013.0,0.043795620437956206
Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,01/01/2017,17.7,2017.0,0.041676477513538965
Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Winter 2010-11,12/01/2010,25.7,2010.0,0.06051330350835884
Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2009,06/01/2009,16.1,2009.0,0.037909112314575
Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2017,01/01/2017,12.7,2017.0,0.029903461266776548
Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2021,01/01/2021,11.4,2021.0,0.026842477042618322
Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Summer 2009,06/01/2009,8.6,2009.0,0.020249587944431362
Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Winter 2014-15,12/01/2014,20.7,2014.0,0.04874028726159642
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2012,12/01/2011,9.7,2012.0,0.022839651518719094
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2012,06/01/2012,12.3,2012.0,0.028961619967035557
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2013,06/01/2013,12.2,2013.0,0.028726159642100305
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Winter 2014-15,12/01/2014,8.8,2014.0,0.020720508594301863
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2009,06/01/2009,10.4,2009.0,0.024487873793265835
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,7.2,2021.0,0.016953143395337888
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Annual Average 2021,01/01/2021,6.3,2021.0,0.01483400047092065
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2013,12/01/2012,10.4,2013.0,0.024487873793265835
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Winter 2010-11,12/01/2010,14.4,2010.0,0.033906286790675776
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Winter 2015-16,12/01/2015,7.4,2015.0,0.017424064045208385
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2011,06/01/2011,11.5,2011.0,0.027077937367553567
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Winter 2021-22,12/01/2021,7.4,2021.0,0.017424064045208385
