Site_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (?F),AirTemp (C),Year
Bay,1/3/1994,1.3,11.7,7.3,0.4,0.4,5.9,46.4,8.0,1994
Bay,1/31/1994,1.5,12.0,7.4,0.2,0.35,3.0,36.68,2.6,1994
Bay,2/7/1994,1.0,10.5,7.2,0.25,0.6,5.9,45.68,7.6,1994
Bay,2/23/1994,1.0,10.1,7.4,0.35,0.5,10.0,36.86,2.7,1994
Bay,2/28/1994,1.0,12.6,7.2,0.2,0.4,1.6,32.0,0.0,1994
Bay,3/7/1994,1.0,9.9,7.1,0.2,0.9,9.7,59.36,15.2,1994
Bay,3/14/1994,0.5,10.4,7.2,0.25,0.75,9.8,50.18,10.1,1994
Bay,3/28/1994,1.0,9.2,7.1,0.15,0.95,16.1,71.78,22.1,1994
Bay,4/4/1994,1.0,9.2,7.2,0.25,0.75,15.0,56.3,13.5,1994
Bay,4/11/1994,1.0,8.6,7.3,0.2,0.75,15.7,55.4,13.0,1994
Bay,4/18/1994,1.0,8.8,7.6,0.2,0.7,17.5,61.88,16.6,1994
Bay,4/25/1994,1.0,10.0,7.9,0.2,0.5,19.3,71.78,22.1,1994
Bay,5/2/1994,1.3,9.8,7.5,0.2,0.65,16.1,55.4,13.0,1994
Bay,5/9/1994,1.0,10.1,7.9,0.25,0.75,18.8,67.1,19.5,1994
Bay,5/16/1994,1.0,8.2,7.8,0.25,0.8,22.1,72.14,22.3,1994
Bay,5/23/1994,1.0,10.8,9.1,0.05,0.05,21.7,75.74,24.3,1994
Bay,5/30/1994,1.0,8.7,8.5,0.35,0.8,22.3,72.86,22.7,1994
Bay,6/6/1994,1.0,9.4,8.6,0.35,0.8,23.8,78.26,25.7,1994
Bay,6/13/1994,1.2,10.4,9.0,0.35,0.8,27.9,80.42,26.9,1994
Bay,6/20/1994,1.5,9.8,9.0,0.35,0.7,29.5,86.9,30.5,1994
Bay,6/27/1994,1.5,7.3,8.1,0.25,1.2,25.5,82.22,27.9,1994
Bay,7/3/1994,2.0,10.7,9.0,0.4,0.9,28.5,82.4,28.0,1994
Bay,6/25/1994,2.0,11.0,9.4,0.5,0.9,30.5,83.3,28.5,1994
Bay,8/1/1994,2.0,10.7,9.2,0.45,0.75,29.0,77.9,25.5,1994
Bay,8/8/1994,2.0,10.2,9.2,0.4,0.55,22.0,70.7,21.5,1994
Bay,8/15/1994,2.3,6.9,8.8,0.45,0.9,24.5,68.0,20.0,1994
Bay,8/22/1994,2.0,9.1,9.1,0.45,0.9,27.0,76.1,24.5,1994
Bay,8/29/1994,2.3,9.8,9.3,0.45,0.75,27.0,80.6,27.0,1994
Bay,9/5/1994,2.5,8.6,8.5,0.2,1.2,17.0,62.6,17.0,1994
Bay,9/12/1994,2.5,7.9,8.4,0.35,0.6,21.0,66.2,19.0,1994
Bay,9/19/1994,2.5,8.2,8.1,0.45,0.6,20.5,70.7,21.5,1994
Bay,9/26/1994,2.25,6.9,8.1,0.45,0.8,23.0,73.4,23.0,1994
Bay,10/10/1994,2.5,8.4,8.1,0.45,0.5,17.0,62.6,17.0,1994
Bay,10/24/1994,2.5,7.4,7.6,0.35,0.85,18.0,66.2,19.0,1994
Bay,11/7/1994,2.5,9.0,7.3,0.2,0.5,15.0,59.0,15.0,1994
Bay,11/28/1994,2.8,9.4,7.7,0.25,0.65,13.0,63.5,17.5,1994
Bay,12/12/1994,2.5,11.4,6.9,0.35,0.4,5.0,41.0,5.0,1994
Bay,12/29/1994,3.0,10.4,6.9,0.15,0.4,8.0,49.1,9.5,1994
Bay,5/18/1989,,12.0,7.5,0.2,0.6,17.5,68.9,20.5,1989
Bay,6/1/1989,,12.0,8.0,0.4,0.9,25.5,84.2,29.0,1989
Bay,7/20/1989,,1.6,9.0,0.3,0.9,30.0,90.5,32.5,1989
Bay,7/27/1989,,6.2,9.0,0.3,0.8,27.0,80.6,27.0,1989
Bay,8/3/1989,,5.8,9.5,0.2,0.7,25.0,82.4,28.0,1989
Bay,8/10/1989,,3.2,9.0,0.2,0.3,21.5,72.5,22.5,1989
Bay,8/17/1989,,7.3,9.0,0.2,0.8,28.0,84.2,29.0,1989
Bay,8/31/1989,,7.1,9.0,0.2,0.8,28.0,82.4,28.0,1989
Bay,9/14/1989,,6.0,7.5,0.3,0.9,26.0,78.8,26.0,1989
Bay,10/25/1989,,7.8,8.5,0.2,0.5,15.0,66.2,19.0,1989
Bay,11/27/1989,,10.3,7.5,0.2,0.6,9.0,39.2,4.0,1989
Bay,12/11/1989,,10.2,7.0,0.2,0.4,3.0,37.4,3.0,1989
Bay,1/3/1990,,11.9,7.5,0.2,0.6,3.0,41.0,5.0,1990
Bay,1/8/1990,,10.8,7.5,0.2,0.4,7.0,45.5,7.5,1990
Bay,1/22/1990,1.0,9.7,7.5,0.15,0.65,10.0,53.6,12.0,1990
Bay,1/30/1990,,10.8,7.5,0.2,0.7,9.0,55.4,13.0,1990
Bay,2/7/1990,3.4,10.8,7.5,0.2,0.6,10.0,50.0,10.0,1990
Bay,2/12/1990,3.2,10.6,7.0,0.2,0.7,10.0,48.2,9.0,1990
Bay,2/20/1990,4.2,11.6,7.5,0.15,0.39,5.0,41.0,5.0,1990
Bay,2/27/1990,2.8,13.8,7.0,0.5,1.5,2.5,33.8,1.0,1990
Bay,3/5/1990,2.9,11.6,7.0,0.2,0.4,7.0,47.3,8.5,1990
Bay,3/12/1990,2.9,9.0,7.0,0.15,0.69,17.0,69.8,21.0,1990
Bay,3/19/1990,2.8,7.8,7.0,0.22,0.92,15.0,57.2,14.0,1990
Bay,3/26/1990,3.0,10.8,7.0,0.25,0.4,9.5,48.2,9.0,1990
Bay,4/2/1990,1.8,9.6,8.0,0.15,0.7,5.0,59.0,15.0,1990
Bay,4/9/1990,4.1,10.8,7.0,0.25,0.78,11.0,53.6,12.0,1990
Bay,4/16/1990,2.5,9.7,7.0,0.25,0.72,15.0,57.2,14.0,1990
Bay,4/23/1990,2.8,10.7,7.0,0.25,0.59,15.0,59.0,15.0,1990
Bay,4/30/1990,3.2,10.0,7.0,0.88,1.3,18.0,60.8,16.0,1990
Bay,5/7/1990,4.5,8.9,7.0,0.25,0.75,17.0,64.4,18.0,1990
